data_type,continent,country,demographic,signup_date,day,time_period,job_category,posting_date,region,job_type,skill,demo_type,request_date,event_type,query_date,query_type
demographic data,South America,Argentina,Academic,2023/08/09,Tuesday,Morning (6AM-12PM),Product Management,2023/02/10,Europe,Part-Time,Python,Small Business,2024/06/26,assistant data,2024/11/29,category query
promotional event data,Australia,Australia,Individual,2023/03/25,Sunday,Afternoon (12PM-6PM),Product Management,2024/01/03,North America,Part-Time,SQL,Small Business,2024/04/30,job posting data,2023/09/12,job search
demographic data,South America,Chile,Academic,2023/09/01,Tuesday,Night (12AM-6AM),Engineering,2023/01/26,Europe,Full-Time,Java,Individual,2023/10/12,job posting data,2023/10/25,job search
demographic data,Europe,France,Individual,2023/04/06,Tuesday,Evening (6PM-12AM),Product Management,2023/03/30,Australia,Contract,Python,Academic,2023/06/13,job posting data,2023/02/06,region search
demographic data,North America,USA,Enterprise,2023/05/02,Friday,Night (12AM-6AM),Product Management,2023/01/07,Asia,Internship,Excel,Small Business,2023/09/09,job posting data,2023/09/08,job search
demographic data,Europe,France,Individual,2024/06/29,Saturday,Morning (6AM-12PM),Marketing,2024/06/02,Africa,Contract,Java,Academic,2023/08/24,job posting data,2024/01/17,region search
promotional event data,South America,Argentina,Enterprise,2023/07/12,Tuesday,Evening (6PM-12AM),Product Management,2024/01/18,Europe,Full-Time,Python,Academic,2024/02/09,job posting data,2024/09/23,category query
job type data,Asia,China,Small Business,2024/07/19,Friday,Morning (6AM-12PM),Sales,2023/07/26,North America,Full-Time,Java,Academic,2024/05/16,promotional event data,2023/05/17,region search
assistant data,Africa,Nigeria,Small Business,2023/02/10,Friday,Afternoon (12PM-6PM),Marketing,2024/03/10,Europe,Internship,JavaScript,Individual,2023/11/20,assistant data,2024/07/20,region search
assistant data,Africa,Nigeria,Startup,2024/09/13,Saturday,Night (12AM-6AM),Engineering,2024/01/06,Europe,Contract,Python,Enterprise,2023/04/02,promotional event data,2023/07/16,region search
job type data,North America,USA,Small Business,2024/11/25,Sunday,Evening (6PM-12AM),Sales,2023/04/06,Australia,Part-Time,Java,Enterprise,2024/04/10,job posting data,2023/11/05,category query
demographic data,North America,Canada,Individual,2024/04/18,Wednesday,Afternoon (12PM-6PM),Design,2024/04/07,South America,Full-Time,Java,Small Business,2024/06/25,job posting data,2024/03/30,region search
user data,North America,Canada,Startup,2023/11/11,Tuesday,Evening (6PM-12AM),Product Management,2023/05/24,South America,Part-Time,Python,Academic,2023/01/03,assistant data,2023/02/05,job search
assistant data,Europe,UK,Academic,2024/06/06,Wednesday,Afternoon (12PM-6PM),Sales,2023/10/14,Asia,Contract,Python,Individual,2023/10/03,promotional event data,2023/12/09,job search
user data,Australia,Australia,Academic,2023/04/02,Thursday,Morning (6AM-12PM),Sales,2024/09/11,South America,Full-Time,Java,Individual,2023/07/23,job posting data,2023/08/21,category query
user data,Europe,Germany,Enterprise,2023/12/22,Saturday,Night (12AM-6AM),Product Management,2024/11/03,North America,Internship,C++,Individual,2024/09/20,assistant data,2023/05/21,job search
user data,Asia,China,Small Business,2023/05/14,Sunday,Afternoon (12PM-6PM),Customer Support,2023/01/07,South America,Internship,Excel,Enterprise,2024/07/03,assistant data,2023/12/18,region search
job posting data,North America,Canada,Enterprise,2024/06/02,Saturday,Morning (6AM-12PM),Marketing,2023/07/20,Australia,Full-Time,C++,Enterprise,2024/08/23,job posting data,2023/04/24,job search
job posting data,Asia,India,Enterprise,2023/05/08,Thursday,Night (12AM-6AM),Marketing,2024/03/29,Asia,Contract,Python,Small Business,2023/05/27,assistant data,2023/03/01,region search
job type data,South America,Brazil,Small Business,2024/09/04,Wednesday,Night (12AM-6AM),Design,2024/12/01,Europe,Internship,C++,Enterprise,2023/06/15,promotional event data,2023/12/16,category query
user data,Australia,Australia,Startup,2023/09/02,Tuesday,Afternoon (12PM-6PM),Sales,2024/09/02,Australia,Part-Time,SQL,Enterprise,2023/06/14,job posting data,2023/08/11,category query
user data,Africa,Kenya,Individual,2023/09/01,Friday,Morning (6AM-12PM),Marketing,2023/10/12,Africa,Internship,SQL,Academic,2023/03/30,assistant data,2024/08/12,category query
user data,North America,USA,Small Business,2024/11/17,Saturday,Evening (6PM-12AM),Sales,2024/09/05,Australia,Internship,Excel,Individual,2024/01/18,promotional event data,2023/05/13,job search
user data,Australia,Australia,Academic,2024/10/28,Saturday,Afternoon (12PM-6PM),Customer Support,2024/08/09,North America,Contract,SQL,Small Business,2023/08/14,promotional event data,2023/12/03,job search
job posting data,North America,USA,Enterprise,2024/04/14,Wednesday,Afternoon (12PM-6PM),Sales,2023/10/07,North America,Contract,Python,Individual,2023/09/28,job posting data,2023/12/24,job search
user data,Europe,France,Enterprise,2024/03/27,Saturday,Evening (6PM-12AM),Marketing,2024/04/17,Australia,Contract,Java,Academic,2024/11/21,assistant data,2023/10/27,region search
user data,Africa,Kenya,Enterprise,2023/09/15,Monday,Morning (6AM-12PM),Product Management,2023/03/20,Europe,Full-Time,Java,Small Business,2024/05/14,assistant data,2024/06/17,category query
user data,North America,Mexico,Enterprise,2024/07/30,Tuesday,Night (12AM-6AM),Sales,2023/03/28,Europe,Part-Time,Python,Individual,2024/11/19,promotional event data,2024/11/11,region search
user data,North America,USA,Individual,2024/03/05,Sunday,Afternoon (12PM-6PM),Customer Support,2024/03/02,North America,Contract,SQL,Individual,2023/01/06,job posting data,2023/11/29,job search
promotional event data,North America,Canada,Startup,2024/12/28,Wednesday,Afternoon (12PM-6PM),Product Management,2024/04/13,Asia,Contract,JavaScript,Small Business,2024/03/10,assistant data,2023/02/23,category query
job type data,North America,Canada,Small Business,2024/03/16,Monday,Night (12AM-6AM),Marketing,2023/01/22,Africa,Contract,SQL,Individual,2024/01/25,promotional event data,2023/11/30,region search
demographic data,Africa,Kenya,Academic,2024/09/05,Sunday,Morning (6AM-12PM),Sales,2023/05/26,Asia,Full-Time,Java,Individual,2024/01/09,job posting data,2024/10/25,job search
user data,Asia,India,Academic,2023/06/17,Monday,Morning (6AM-12PM),Sales,2023/08/24,Asia,Full-Time,Java,Individual,2024/09/06,assistant data,2024/04/30,category query
demographic data,North America,USA,Academic,2024/05/15,Saturday,Afternoon (12PM-6PM),Engineering,2024/04/15,Europe,Full-Time,Excel,Small Business,2024/09/30,job posting data,2023/12/13,category query
promotional event data,North America,Mexico,Small Business,2023/01/15,Thursday,Night (12AM-6AM),Customer Support,2024/09/02,North America,Contract,JavaScript,Small Business,2024/08/24,job posting data,2023/09/30,region search
user data,North America,Canada,Individual,2024/11/10,Saturday,Morning (6AM-12PM),Marketing,2024/10/07,Europe,Internship,SQL,Enterprise,2024/05/30,promotional event data,2024/05/19,category query
user data,Asia,China,Academic,2024/05/25,Saturday,Morning (6AM-12PM),Product Management,2023/06/28,North America,Contract,Excel,Individual,2024/11/04,promotional event data,2023/08/29,category query
user data,Europe,France,Individual,2024/02/24,Friday,Evening (6PM-12AM),Engineering,2024/04/07,Africa,Internship,C++,Enterprise,2024/04/07,promotional event data,2024/12/09,job search
assistant data,South America,Chile,Small Business,2024/06/03,Sunday,Evening (6PM-12AM),Design,2024/09/27,Europe,Contract,Python,Academic,2024/05/30,assistant data,2024/08/29,job search
assistant data,Africa,Nigeria,Enterprise,2023/06/02,Tuesday,Night (12AM-6AM),Engineering,2023/12/15,Africa,Contract,C++,Individual,2023/06/21,promotional event data,2024/04/04,category query
job type data,South America,Argentina,Individual,2024/01/06,Friday,Afternoon (12PM-6PM),Design,2024/06/19,Asia,Full-Time,JavaScript,Individual,2024/01/24,promotional event data,2023/12/29,job search
demographic data,Australia,Australia,Small Business,2023/10/25,Friday,Afternoon (12PM-6PM),Engineering,2024/11/14,South America,Contract,Python,Individual,2024/07/13,promotional event data,2024/01/13,category query
promotional event data,Africa,Nigeria,Enterprise,2023/05/07,Sunday,Morning (6AM-12PM),Design,2024/10/10,Asia,Full-Time,C++,Academic,2023/03/21,job posting data,2024/07/22,region search
promotional event data,Africa,South Africa,Academic,2024/08/21,Wednesday,Morning (6AM-12PM),Engineering,2024/01/08,South America,Contract,SQL,Academic,2023/08/12,job posting data,2024/05/24,job search
promotional event data,Africa,Nigeria,Enterprise,2023/01/14,Tuesday,Night (12AM-6AM),Product Management,2024/09/02,North America,Part-Time,Java,Individual,2024/12/26,job posting data,2024/05/07,job search
demographic data,Africa,Nigeria,Small Business,2023/11/14,Tuesday,Night (12AM-6AM),Marketing,2023/07/08,South America,Internship,C++,Individual,2023/05/31,assistant data,2024/02/29,job search
job posting data,Australia,Australia,Small Business,2024/01/12,Saturday,Evening (6PM-12AM),Sales,2024/01/13,Africa,Contract,Excel,Small Business,2024/05/27,promotional event data,2023/12/08,region search
user data,Africa,Nigeria,Individual,2024/05/22,Friday,Evening (6PM-12AM),Customer Support,2023/03/24,Australia,Internship,JavaScript,Small Business,2024/02/10,job posting data,2024/01/16,region search
promotional event data,Europe,France,Startup,2023/11/23,Wednesday,Evening (6PM-12AM),Product Management,2023/01/06,Asia,Part-Time,Excel,Small Business,2024/07/06,job posting data,2023/09/28,region search
assistant data,South America,Chile,Individual,2023/05/29,Wednesday,Afternoon (12PM-6PM),Marketing,2023/10/20,Africa,Full-Time,SQL,Enterprise,2024/08/28,job posting data,2024/09/25,region search
assistant data,North America,USA,Enterprise,2023/09/07,Tuesday,Afternoon (12PM-6PM),Customer Support,2023/10/03,Europe,Full-Time,SQL,Enterprise,2024/10/08,assistant data,2023/10/03,region search
assistant data,Australia,Australia,Startup,2024/06/09,Tuesday,Morning (6AM-12PM),Marketing,2024/07/09,North America,Internship,JavaScript,Academic,2024/03/25,job posting data,2024/08/06,job search
promotional event data,Africa,Nigeria,Academic,2023/06/14,Thursday,Morning (6AM-12PM),Design,2023/05/09,South America,Contract,Java,Academic,2023/02/16,promotional event data,2023/08/28,region search
demographic data,Asia,Japan,Startup,2024/05/01,Friday,Evening (6PM-12AM),Customer Support,2024/01/11,Africa,Full-Time,C++,Academic,2023/08/09,promotional event data,2023/02/20,region search
user data,South America,Brazil,Startup,2023/04/17,Wednesday,Evening (6PM-12AM),Engineering,2023/11/25,Africa,Full-Time,Java,Small Business,2023/12/30,promotional event data,2024/11/27,region search
promotional event data,Australia,Australia,Enterprise,2024/03/11,Friday,Evening (6PM-12AM),Design,2024/05/20,Europe,Contract,C++,Enterprise,2023/04/01,promotional event data,2024/08/14,category query
job posting data,Asia,India,Small Business,2023/12/14,Tuesday,Afternoon (12PM-6PM),Marketing,2023/01/13,Europe,Contract,Java,Enterprise,2024/02/15,promotional event data,2023/10/24,job search
assistant data,Asia,India,Enterprise,2024/04/14,Sunday,Morning (6AM-12PM),Sales,2024/04/20,Australia,Internship,Excel,Academic,2023/01/15,job posting data,2024/04/01,category query
job posting data,Australia,Australia,Individual,2023/02/05,Friday,Evening (6PM-12AM),Product Management,2023/04/16,Australia,Contract,C++,Academic,2023/12/02,assistant data,2023/07/18,region search
job type data,South America,Argentina,Academic,2024/07/04,Monday,Morning (6AM-12PM),Customer Support,2024/12/25,Europe,Full-Time,Python,Enterprise,2023/02/22,job posting data,2024/01/03,job search
job posting data,South America,Brazil,Enterprise,2024/05/10,Monday,Evening (6PM-12AM),Customer Support,2023/02/24,Australia,Contract,JavaScript,Individual,2023/06/29,assistant data,2024/11/14,region search
demographic data,Africa,Kenya,Startup,2023/01/18,Sunday,Morning (6AM-12PM),Product Management,2024/01/07,Australia,Internship,C++,Academic,2024/12/24,job posting data,2023/07/23,job search
job type data,Europe,France,Startup,2023/01/07,Monday,Evening (6PM-12AM),Product Management,2024/12/22,North America,Full-Time,Python,Enterprise,2023/06/23,assistant data,2023/09/24,region search
user data,North America,USA,Academic,2024/12/23,Friday,Afternoon (12PM-6PM),Design,2024/08/25,Australia,Internship,Java,Small Business,2023/10/12,assistant data,2023/11/21,region search
user data,Europe,Germany,Individual,2023/01/10,Sunday,Evening (6PM-12AM),Customer Support,2024/09/04,North America,Internship,Excel,Enterprise,2024/12/10,assistant data,2023/02/10,category query
promotional event data,North America,Canada,Academic,2023/04/25,Friday,Morning (6AM-12PM),Product Management,2023/10/11,South America,Full-Time,C++,Small Business,2024/10/02,job posting data,2024/03/18,category query
assistant data,Asia,India,Individual,2023/11/04,Tuesday,Night (12AM-6AM),Design,2024/12/31,Europe,Contract,Excel,Small Business,2024/03/13,assistant data,2024/09/05,job search
job posting data,Africa,Nigeria,Enterprise,2023/03/25,Sunday,Afternoon (12PM-6PM),Design,2023/08/23,South America,Part-Time,SQL,Academic,2023/04/18,job posting data,2024/03/21,category query
user data,Europe,Germany,Small Business,2023/01/30,Wednesday,Morning (6AM-12PM),Customer Support,2023/05/27,North America,Contract,C++,Enterprise,2024/12/16,promotional event data,2024/03/30,category query
assistant data,Africa,Nigeria,Enterprise,2023/09/11,Sunday,Evening (6PM-12AM),Product Management,2024/07/15,South America,Contract,JavaScript,Small Business,2024/07/02,job posting data,2023/04/25,region search
promotional event data,North America,Canada,Individual,2023/03/23,Monday,Night (12AM-6AM),Design,2023/05/18,Australia,Internship,C++,Academic,2023/07/08,assistant data,2023/01/28,category query
promotional event data,North America,Canada,Small Business,2023/03/27,Wednesday,Morning (6AM-12PM),Customer Support,2023/03/22,Africa,Internship,C++,Individual,2023/01/21,job posting data,2023/12/04,region search
demographic data,Africa,South Africa,Individual,2024/05/17,Tuesday,Morning (6AM-12PM),Sales,2023/07/12,Africa,Contract,JavaScript,Enterprise,2024/05/19,job posting data,2023/05/10,region search
assistant data,North America,Canada,Academic,2024/03/11,Wednesday,Evening (6PM-12AM),Engineering,2023/06/13,Australia,Full-Time,SQL,Enterprise,2024/07/16,assistant data,2023/12/07,job search
job type data,Africa,South Africa,Startup,2023/05/08,Monday,Evening (6PM-12AM),Product Management,2023/06/21,Africa,Part-Time,C++,Academic,2024/09/26,promotional event data,2024/12/24,category query
assistant data,Europe,France,Enterprise,2023/05/01,Monday,Afternoon (12PM-6PM),Customer Support,2023/08/13,Africa,Part-Time,Excel,Enterprise,2024/10/14,promotional event data,2024/02/12,region search
user data,Asia,India,Startup,2023/03/02,Sunday,Morning (6AM-12PM),Engineering,2023/04/07,Asia,Full-Time,SQL,Small Business,2024/04/30,promotional event data,2024/04/29,region search
job posting data,South America,Chile,Academic,2024/10/15,Thursday,Afternoon (12PM-6PM),Design,2023/04/14,Africa,Part-Time,C++,Enterprise,2023/11/09,job posting data,2023/11/15,job search
user data,North America,Canada,Startup,2023/02/10,Thursday,Night (12AM-6AM),Design,2024/01/07,Europe,Part-Time,SQL,Small Business,2023/04/28,promotional event data,2023/04/18,category query
job posting data,Asia,Japan,Startup,2024/05/30,Tuesday,Evening (6PM-12AM),Marketing,2023/08/19,Australia,Part-Time,C++,Small Business,2024/08/20,promotional event data,2024/12/19,category query
assistant data,Europe,Germany,Small Business,2023/04/15,Sunday,Morning (6AM-12PM),Engineering,2024/06/28,North America,Full-Time,C++,Individual,2023/10/23,promotional event data,2023/02/24,region search
assistant data,South America,Chile,Enterprise,2023/02/24,Tuesday,Night (12AM-6AM),Marketing,2024/05/30,Asia,Internship,JavaScript,Academic,2024/08/01,job posting data,2023/11/26,region search
user data,North America,USA,Individual,2024/02/27,Wednesday,Evening (6PM-12AM),Marketing,2023/01/07,Africa,Part-Time,Excel,Academic,2023/01/03,promotional event data,2023/05/25,region search
user data,Africa,Kenya,Startup,2024/12/25,Sunday,Afternoon (12PM-6PM),Sales,2024/07/25,Africa,Part-Time,Excel,Small Business,2023/03/25,promotional event data,2024/04/10,job search
demographic data,Africa,Kenya,Small Business,2024/06/03,Tuesday,Evening (6PM-12AM),Marketing,2023/02/22,North America,Full-Time,Excel,Academic,2023/01/27,promotional event data,2024/01/26,job search
promotional event data,Australia,Australia,Academic,2023/11/24,Monday,Morning (6AM-12PM),Marketing,2023/06/21,Europe,Internship,C++,Academic,2024/11/29,assistant data,2023/03/16,job search
user data,North America,USA,Individual,2024/12/18,Thursday,Morning (6AM-12PM),Engineering,2024/05/25,South America,Contract,JavaScript,Enterprise,2023/12/06,assistant data,2023/08/27,region search
promotional event data,Australia,Australia,Small Business,2024/03/21,Thursday,Morning (6AM-12PM),Sales,2023/07/30,South America,Internship,SQL,Academic,2024/08/18,job posting data,2024/11/14,category query
job type data,Africa,Kenya,Individual,2024/03/31,Tuesday,Night (12AM-6AM),Engineering,2024/02/05,South America,Part-Time,JavaScript,Individual,2023/06/23,promotional event data,2024/12/15,category query
demographic data,Asia,Japan,Small Business,2023/11/29,Monday,Afternoon (12PM-6PM),Customer Support,2023/10/28,Asia,Part-Time,Java,Enterprise,2023/04/09,promotional event data,2023/07/27,category query
promotional event data,Australia,Australia,Startup,2023/07/30,Monday,Evening (6PM-12AM),Product Management,2024/01/27,North America,Contract,JavaScript,Small Business,2023/01/29,job posting data,2023/01/15,region search
promotional event data,Europe,Germany,Individual,2024/09/22,Sunday,Evening (6PM-12AM),Design,2023/04/20,Africa,Full-Time,SQL,Academic,2023/01/01,assistant data,2023/08/11,category query
job posting data,Asia,India,Academic,2024/08/26,Thursday,Night (12AM-6AM),Marketing,2023/02/05,Africa,Internship,Python,Small Business,2023/07/12,job posting data,2023/06/03,job search
job type data,Europe,Germany,Academic,2023/11/30,Friday,Night (12AM-6AM),Marketing,2024/07/06,North America,Part-Time,Java,Enterprise,2024/05/20,promotional event data,2024/08/18,job search
assistant data,South America,Chile,Startup,2023/05/30,Wednesday,Night (12AM-6AM),Customer Support,2024/02/19,Europe,Internship,C++,Small Business,2024/09/07,assistant data,2023/06/29,region search
promotional event data,North America,USA,Enterprise,2024/02/03,Friday,Evening (6PM-12AM),Engineering,2024/03/24,Europe,Contract,SQL,Individual,2023/01/12,job posting data,2024/06/23,region search
user data,North America,Mexico,Small Business,2024/08/02,Saturday,Evening (6PM-12AM),Product Management,2024/09/13,North America,Contract,SQL,Individual,2023/08/21,assistant data,2024/07/22,region search
user data,Europe,France,Academic,2023/08/19,Tuesday,Evening (6PM-12AM),Engineering,2023/10/14,Africa,Internship,JavaScript,Individual,2024/07/25,assistant data,2023/04/27,job search
job posting data,Australia,Australia,Startup,2024/03/17,Friday,Night (12AM-6AM),Sales,2024/05/18,South America,Contract,C++,Individual,2024/06/06,assistant data,2024/05/21,job search
demographic data,Australia,Australia,Startup,2023/01/26,Monday,Afternoon (12PM-6PM),Customer Support,2024/05/08,Australia,Internship,SQL,Individual,2023/04/26,promotional event data,2024/04/28,job search
demographic data,North America,USA,Startup,2024/01/10,Saturday,Night (12AM-6AM),Customer Support,2023/11/06,North America,Part-Time,JavaScript,Individual,2024/05/20,job posting data,2023/03/13,category query
job type data,Asia,Japan,Individual,2023/11/14,Wednesday,Morning (6AM-12PM),Product Management,2024/10/27,North America,Part-Time,Excel,Individual,2024/08/08,assistant data,2023/11/26,category query
promotional event data,North America,Canada,Academic,2024/01/28,Monday,Afternoon (12PM-6PM),Customer Support,2024/03/15,North America,Contract,Excel,Academic,2024/03/27,assistant data,2024/11/18,job search
promotional event data,Africa,South Africa,Individual,2023/09/25,Sunday,Afternoon (12PM-6PM),Product Management,2024/11/10,South America,Part-Time,Excel,Academic,2024/10/18,assistant data,2023/11/27,category query
job type data,Asia,Japan,Academic,2024/01/29,Saturday,Evening (6PM-12AM),Sales,2023/06/06,Europe,Part-Time,Excel,Academic,2024/06/06,promotional event data,2023/05/16,region search
demographic data,South America,Argentina,Startup,2023/11/03,Tuesday,Afternoon (12PM-6PM),Product Management,2024/08/09,North America,Full-Time,JavaScript,Enterprise,2024/06/25,job posting data,2023/01/05,job search
assistant data,South America,Argentina,Enterprise,2023/03/10,Wednesday,Night (12AM-6AM),Design,2023/09/06,Europe,Full-Time,SQL,Small Business,2024/03/10,promotional event data,2024/01/10,category query
user data,North America,USA,Individual,2023/03/29,Tuesday,Evening (6PM-12AM),Engineering,2024/08/28,Australia,Part-Time,C++,Academic,2023/05/10,promotional event data,2024/09/08,category query
demographic data,South America,Chile,Startup,2024/11/24,Thursday,Night (12AM-6AM),Design,2023/08/26,South America,Internship,JavaScript,Academic,2023/11/24,assistant data,2024/07/22,region search
user data,Europe,UK,Individual,2023/11/24,Friday,Morning (6AM-12PM),Sales,2023/12/21,Asia,Part-Time,C++,Small Business,2023/03/19,assistant data,2024/08/01,region search
promotional event data,Europe,Germany,Small Business,2024/09/27,Friday,Evening (6PM-12AM),Design,2024/06/03,North America,Full-Time,C++,Enterprise,2024/02/28,job posting data,2024/04/16,category query
job posting data,North America,USA,Startup,2023/03/25,Thursday,Morning (6AM-12PM),Marketing,2024/05/11,Australia,Full-Time,SQL,Small Business,2023/09/22,job posting data,2024/12/19,category query
assistant data,Europe,UK,Small Business,2024/03/26,Thursday,Afternoon (12PM-6PM),Marketing,2023/10/12,South America,Full-Time,JavaScript,Academic,2024/11/14,assistant data,2024/11/04,category query
job posting data,Europe,France,Startup,2024/10/17,Wednesday,Morning (6AM-12PM),Engineering,2024/06/13,Europe,Full-Time,Python,Enterprise,2024/12/31,assistant data,2023/11/03,region search
user data,North America,Canada,Academic,2023/03/20,Thursday,Night (12AM-6AM),Marketing,2023/10/14,Europe,Part-Time,Java,Individual,2023/04/03,promotional event data,2023/07/29,job search
user data,North America,USA,Individual,2024/09/27,Thursday,Night (12AM-6AM),Marketing,2024/12/25,South America,Full-Time,JavaScript,Enterprise,2024/08/17,assistant data,2024/12/15,job search
job posting data,Europe,UK,Individual,2024/09/13,Saturday,Morning (6AM-12PM),Design,2024/09/16,Asia,Contract,JavaScript,Individual,2023/07/25,job posting data,2023/08/13,region search
promotional event data,Africa,Nigeria,Enterprise,2023/04/20,Wednesday,Afternoon (12PM-6PM),Product Management,2024/12/31,Africa,Full-Time,SQL,Individual,2024/09/22,promotional event data,2024/06/03,category query
job posting data,Australia,Australia,Enterprise,2023/12/07,Thursday,Night (12AM-6AM),Engineering,2024/07/07,Australia,Internship,Python,Individual,2024/12/22,job posting data,2023/05/16,job search
job posting data,Africa,Kenya,Individual,2024/09/12,Saturday,Morning (6AM-12PM),Marketing,2023/05/30,Australia,Part-Time,SQL,Enterprise,2023/06/28,job posting data,2023/03/26,region search
job type data,Australia,Australia,Enterprise,2023/06/02,Tuesday,Night (12AM-6AM),Engineering,2024/05/14,Europe,Internship,Python,Academic,2024/05/18,job posting data,2023/01/22,region search
assistant data,North America,USA,Small Business,2024/06/23,Wednesday,Night (12AM-6AM),Engineering,2023/04/21,Australia,Contract,JavaScript,Small Business,2023/04/25,promotional event data,2024/12/11,job search
assistant data,Europe,Germany,Individual,2023/03/16,Saturday,Night (12AM-6AM),Customer Support,2023/11/17,Asia,Internship,SQL,Enterprise,2024/03/07,promotional event data,2024/04/07,job search
user data,Europe,UK,Individual,2024/10/13,Thursday,Afternoon (12PM-6PM),Marketing,2024/05/09,North America,Full-Time,SQL,Small Business,2023/04/21,job posting data,2024/01/14,job search
job type data,North America,Canada,Enterprise,2024/12/14,Thursday,Night (12AM-6AM),Product Management,2023/05/30,Europe,Part-Time,Python,Small Business,2024/10/28,assistant data,2023/09/28,job search
promotional event data,Asia,Japan,Small Business,2023/01/30,Monday,Evening (6PM-12AM),Product Management,2024/05/30,Europe,Part-Time,SQL,Academic,2023/12/23,assistant data,2023/10/08,category query
job type data,North America,Mexico,Small Business,2023/04/11,Thursday,Evening (6PM-12AM),Customer Support,2024/11/03,South America,Full-Time,Python,Academic,2024/10/14,assistant data,2024/08/12,region search
assistant data,Australia,Australia,Startup,2023/11/05,Thursday,Afternoon (12PM-6PM),Design,2024/12/29,South America,Internship,Java,Enterprise,2024/07/28,job posting data,2024/06/11,region search
user data,Australia,Australia,Startup,2023/04/09,Monday,Morning (6AM-12PM),Engineering,2024/10/27,South America,Full-Time,JavaScript,Individual,2024/07/19,promotional event data,2024/02/16,category query
user data,Europe,UK,Academic,2024/01/03,Saturday,Evening (6PM-12AM),Product Management,2024/07/22,South America,Internship,SQL,Enterprise,2024/08/11,promotional event data,2024/08/13,region search
job posting data,Africa,Kenya,Startup,2023/05/17,Thursday,Afternoon (12PM-6PM),Product Management,2024/10/06,South America,Part-Time,JavaScript,Academic,2023/08/13,job posting data,2024/01/03,region search
job posting data,Australia,Australia,Startup,2023/01/08,Monday,Evening (6PM-12AM),Design,2024/09/19,North America,Full-Time,C++,Academic,2023/11/20,promotional event data,2023/04/30,region search
job type data,Europe,UK,Startup,2024/09/16,Tuesday,Night (12AM-6AM),Marketing,2023/10/30,Africa,Internship,Java,Individual,2023/05/10,assistant data,2023/12/09,category query
assistant data,Africa,Nigeria,Enterprise,2024/10/28,Monday,Night (12AM-6AM),Sales,2024/03/28,North America,Full-Time,C++,Small Business,2024/03/17,promotional event data,2024/08/24,job search
user data,South America,Brazil,Academic,2024/10/07,Monday,Morning (6AM-12PM),Product Management,2023/07/14,Asia,Part-Time,C++,Enterprise,2023/08/31,assistant data,2024/09/08,category query
promotional event data,Europe,France,Enterprise,2024/04/25,Thursday,Night (12AM-6AM),Engineering,2023/04/26,North America,Full-Time,Excel,Enterprise,2024/12/09,promotional event data,2023/07/22,region search
demographic data,Asia,India,Enterprise,2024/09/30,Tuesday,Evening (6PM-12AM),Design,2023/04/08,Europe,Contract,SQL,Small Business,2023/03/27,promotional event data,2023/06/24,job search
user data,Asia,China,Enterprise,2023/11/21,Saturday,Morning (6AM-12PM),Design,2023/04/25,North America,Full-Time,JavaScript,Individual,2024/11/16,promotional event data,2023/05/12,job search
assistant data,Africa,South Africa,Individual,2023/03/07,Sunday,Night (12AM-6AM),Engineering,2023/07/07,South America,Internship,Excel,Individual,2024/03/17,promotional event data,2023/12/29,category query
job type data,Africa,Nigeria,Individual,2023/03/10,Thursday,Night (12AM-6AM),Sales,2024/09/09,South America,Full-Time,C++,Enterprise,2023/07/09,promotional event data,2024/10/14,category query
promotional event data,Africa,Kenya,Enterprise,2024/06/19,Tuesday,Afternoon (12PM-6PM),Sales,2023/04/09,South America,Internship,C++,Small Business,2023/09/24,assistant data,2024/05/05,region search
job type data,Africa,Kenya,Small Business,2023/04/03,Friday,Night (12AM-6AM),Engineering,2023/01/23,Australia,Internship,Java,Academic,2024/03/25,assistant data,2023/12/15,region search
promotional event data,Australia,Australia,Individual,2023/08/10,Friday,Morning (6AM-12PM),Sales,2024/04/13,South America,Internship,Excel,Academic,2024/04/29,job posting data,2023/06/04,region search
job type data,Europe,UK,Enterprise,2024/10/15,Sunday,Evening (6PM-12AM),Marketing,2024/11/29,Africa,Internship,Python,Enterprise,2024/02/13,job posting data,2024/04/23,region search
job type data,Australia,Australia,Academic,2024/09/06,Friday,Morning (6AM-12PM),Design,2024/08/30,Australia,Full-Time,Java,Individual,2023/01/19,assistant data,2023/03/13,job search
assistant data,Europe,France,Enterprise,2024/04/18,Sunday,Evening (6PM-12AM),Sales,2023/11/19,Australia,Part-Time,JavaScript,Small Business,2023/04/28,promotional event data,2024/11/04,job search
promotional event data,Australia,Australia,Academic,2024/08/01,Sunday,Evening (6PM-12AM),Marketing,2023/06/30,North America,Full-Time,SQL,Small Business,2023/09/07,assistant data,2024/08/12,category query
assistant data,Europe,Germany,Startup,2024/07/03,Saturday,Afternoon (12PM-6PM),Engineering,2023/03/27,Africa,Contract,Java,Individual,2024/05/26,promotional event data,2023/02/09,job search
job type data,Africa,South Africa,Individual,2023/08/30,Thursday,Night (12AM-6AM),Customer Support,2023/04/13,South America,Contract,C++,Enterprise,2023/11/26,assistant data,2024/04/17,region search
assistant data,North America,USA,Academic,2024/03/21,Friday,Morning (6AM-12PM),Marketing,2023/04/26,South America,Contract,SQL,Enterprise,2023/02/09,assistant data,2024/06/02,job search
job posting data,South America,Brazil,Small Business,2023/04/30,Wednesday,Morning (6AM-12PM),Product Management,2024/05/05,Australia,Contract,SQL,Academic,2024/01/02,job posting data,2024/11/07,job search
